Facility Code,Facility Name,County,District,Division,Type,Type_grouped,Owner,Beds,Cots,log_beds,log_cots,Open 24 Hours,Open Weekends,ART,C-IMCI,FP,HBC,IPD
13077,Mathare North Health Centre,Nairobi,Ruaraka,Kasarani,Health Centre,Health Centre,Local Authority,24.0,4.0,3.2188758248682006,1.6094379124341003,0,0,1,0,1,1,1
13078,Mathare Police Depot,Nairobi,Mathare,Central,Dispensary,Dispensary,Ministry of Health,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
13076,Mathari Hospital,Nairobi,Mathare,Kariokor,District Hospital,Other,Ministry of Health,700.0,0.0,6.55250788703459,0.0,1,1,1,0,0,1,0
17947,Loreigns Medical Services (Kasarani),Nairobi,Kasarani,Kasarani,Medical Clinic,Medical Clinic,Private Practice - Unspecified,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
13052,Lower Kabete Dispensary (Kabete),Nairobi,Westlands,Kitisuru,Dispensary,Dispensary,Local Authority,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19600,Madaktari Health Clinic (Njiru),Nairobi,Kasarani,Njiru,Medical Clinic,Medical Clinic,Private Practice - Unspecified,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
13055,Madina Nursing Home,Nairobi,Kamukunji,Eastleigh North,Dispensary,Dispensary,Private Enterprise (Institution),24.0,4.0,3.2188758248682006,1.6094379124341003,1,1,1,0,1,1,1
19473,Maendereo Medical Clinic,Nairobi,Makadara,Makadara,Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
19512,Mafra Clinic,Nairobi,Westlands,,Medical Clinic,Medical Clinic,Non-Governmental Organizations,5.0,0.0,1.791759469228055,0.0,1,1,0,0,0,0,0
19554,Maichoma Clinic,Nairobi,Westlands,,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
19308,Maisha House VCT (Noset),Nairobi,Starehe,Ngara,VCT Centre (Stand-Alone),VCT Centre (Stand-Alone),Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19542,Maisha Poa Dispensary,Nairobi,Dagoretti North,Riruta,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
